season,je,je_perecent,pl,pl_percent,nd,nd_percent,count,mean_dist,med_dist,mean_speed,med_speed
2010,1562,34%,2208,48%,821,18%,4591,396.87,398.00,103.33,103.10
2011,1524,34%,2226,49%,787,17%,4537,396.53,396.00,103.46,103.20
2012,1559,32%,2466,50%,898,18%,4923,398.42,399.00,103.48,103.20
2013,1559,33%,2321,50%,775,17%,4655,396.64,397.00,103.34,103.20
2014,1345,32%,2166,52%,667,16%,4178,395.25,396.00,103.13,102.90
2015,1594,33%,2429,50%,875,18%,4898,398.49,399.50,103.46,103.40
2016,1677,30%,2802,50%,1122,20%,5601,400.00,401.00,103.87,103.70
2017,1953,32%,2926,48%,1205,20%,6084,400.20,402.00,103.88,103.70
